05/06/2023,,,,,,,,,,,,,
,游水,,,,,,,,,,,,
,馬名,馬房,騎師,馬名,馬房,騎師,馬名,馬房,騎師,馬名,馬房,騎師,
,和氣生財,希,精彩勇士,希,赤馬雄風,希,麒麟,希,樂天派,希,健康第一,希,
,寶麗生輝,希,喜蓮心星,希,錢多多,希,佳運發,希,必跑得,希,東方飛影,希,
,久久為攻,希,駟跑得,希,艾莉奧,希,耀力之城,希,禾道福星,希,朗朗乾坤,希,
,喜勝威龍,希,中華英雄,希,包裝高勝,希,雅典武士,希,鐵三角,希,砂煲威威,希,
,實力哥,希,常跑得,希,幸運遇見,希,好友心得,希,瀧澤飛駒,希,太陽之子,希,
,Ｈ三九三,希,Ｈ四○一,希,球星,希,同盟力量,姚,自然力量,姚,鼓浪順風,姚,
,上校,姚,金莊令,姚,寶成智勝,姚,總理,姚,醒臣,姚,怡心聲,姚,
,精彩生活,姚,觔斗雲,姚,太陽拍檔,姚,遨遊氣泡,姚,風繼續吹,姚,志友盈,姚,
,鑽兩鑽,姚,東風壹號,姚,大勢至富,姚,鑽石寶寶,姚,得意佳作,姚,年年豐盛,姚,
,鑽飾翱翔,姚,魅影獵飛,姚,烈火駿馬,姚,步大威猛,姚,駿馬快車,姚,得意醒,姚,
,奮鬥大師,姚,萬事快,姚,遨遊天下,姚,添福,姚,世紀星達,姚,小神仙,姚,
,鑽飾璀璨,姚,大數據,姚,陽光勇士,姚,飛躍精英,姚,你知我得,姚,綠族威,姚,
,Ｈ三二一,姚,極速之子,姚,極速奇兵,姚,鼓浪晴天,姚,風火恆雲,姚,望風披靡,姚,
,超級綠洲,東,桃花盛,東,爆谷,東,喜蓮慧星,東,電路七號,東,樂滿貫,東,
,將俠,東,加州十大,東,柏林探戈,東,加州星球,東,中華盛景,東,狀元及第,東,
,讓愛高飛,東,天寅合一,東,美麗邂逅,東,又龍串鳳,東,?路盈喜,東,?路菁英,東,
,桃花多,東,星洲駿馬,東,勇猛精靈,東,連連有盈,東,龍船狀元,東,?路之星,東,
,烽煙載喜,東,威力星,東,電路九號,東,旺鋪永勝,東,勇敢夢想,東,美麗奔馳,東,
,時時滿意,東,當年情,東,健康之星,東,加州得力,東,電路十一,東,美麗多盈,東,
,萬事正,東,三代同心,東,美麗宇宙,東,時時稱心,東,八駿巨昇,東,桃花雲,東,
,浪茄仔,東,顏色大皇,東,型仔美滿,東,帝豪歡星,東,八駿笑昇,東,同樣美麗,東,
,炯炯有神,東,會展二號,東,Ｈ四○四,東,Ｈ四○五,東,Ｈ四一八,東,威進駒,呂,
,金鎗六十,呂,雙天至尊,呂,高明駿將,呂,暖在你心,呂,超好日子,呂,蟲草之凰,呂,
,純金酒杯,呂,百勝名駒,呂,得力寶駒,呂,獵狐者威,呂,精算其然,呂,威威鬥士,呂,
,勇創派對,呂,包裝智威,呂,金發銀發,呂,勝不驕,呂,包裝必勝,呂,超醒神,呂,
,自力更生,呂,龍船快,呂,善財到喇,呂,勇敢巨星,呂,能文能武,呂,魅力一丁,呂,
,黃腳?,呂,巴閉哥,呂,陽明天空,呂,傳奇大師,呂,百威星,呂,上浦精選,呂,
,可圈可?,呂,傑出漢子,呂,龍之心,呂,金鎗武士,呂,小鳥,呂,營造組裝,呂,
,歐洲傳奇,呂,焦點,呂,齊心勇士,呂,鑽飾永恆,呂,歡樂至寶,呂,管之心,呂,
,禪勝輝煌,呂,果然僥倖,呂,好勁力,呂,博望坡,呂,超音駿馬,呂,大千陽明,呂,
,巴閉仔,呂,獨步天下,呂,風生水起,呂,高明力量,呂,勁速威龍,呂,高瞻遠矚,苗,
,噴火龍,苗,香港精神,苗,冠寶駒,苗,高高,苗,勇戰神駒,苗,皇金風速,苗,
,超班,苗,星洲之光,苗,小刺蛋,苗,熊噹噹,苗,金德義,苗,撼天鐵翼,苗,
,耀寶駒,苗,嘉寶神駒,苗,龍戰士,文,元朗之星,文,機緣巧俠,文,都柏名駒,文,
,喜駿之星,文,駿皇星,文,善傳萬里,文,進優自在,文,紅海福星,文,大家開心,文,
,縱橫十六,文,電子兄弟,文,電源之駒,文,怪獸奇兵,文,荃程路通,文,電子傳奇,文,
,?路神驊,文,創奇蹟,文,喜盈於心,文,金鑽貴人,文,天使獵人,文,星叻無敵,文,
,英雄豪傑,文,安遇,文,逐夢年代,文,美滿星雲,文,善傳香江,文,昆仲猴王,文,
,閃耀威龍,文,鼓浪飛凡,文,開心馬,文,開心漢子,文,電子宇宙,文,快首快腳,文,
,金運來,文,紅海勁,文,電子精彩,文,自強不息,文,紅海風帆,文,紅運大師,蔡,
,二雋,蔡,喜駿駒,蔡,烈風,蔡,神之水滴,蔡,一定美麗,蔡,驚喜,蔡,
,奇寶,蔡,魅力寶駒,蔡,勝得出色,蔡,美麗新星,蔡,美麗笑聲,蔡,自勝者強,蔡,
,順利取勝,蔡,魅力一驕,蔡,魅力知遇,蔡,存喜心,蔡,有財有勢,蔡,日日美麗,蔡,
,至尊高飛,蔡,金馳,蔡,嫡愛心,蔡,紅運帝王,蔡,色種笑,蔡,安泰,蔡,
,魅力一心,蔡,豪堡,蔡,大利好運,蔡,精算謀略,蔡,金匯昇昇,蔡,明心知遇,蔡,
,鑽石福將,蔡,健者,蔡,浦東精神,蔡,平海之星,蔡,碧海藍天,蔡,精算暴雪,蔡,
,一舖成名,葉,全才,葉,競技勇士,葉,一舖縱橫,葉,二話不說,葉,紅旺,葉,
,晉神,葉,專一,葉,電訊?豹,葉,神逸金剛,葉,燈?王子,葉,勝利神駒,葉,
,燈?神龍,葉,金津銀星,葉,好好達人,葉,旅遊高球,葉,精益大師,葉,競駿光輝,葉,
,佳景臨門,葉,神煞金剛,葉,可愛新星,葉,發光發亮,葉,Ｈ四○三,葉,勇猛神駒,沈,
,人和家盛,沈,帝豪大師,沈,萬市之光,沈,合夥雄心,沈,財駿,沈,育成精彩,沈,
,帝豪之星,沈,浪漫勇士,沈,閃電,沈,想見你,沈,金棵滿坻,沈,火雲神劍,沈,
,雪山神駒,沈,旺旺神駒,沈,堅有利,沈,雪勇神駒,沈,勇威神駒,沈,非池,沈,
,妙玲瓏,沈,叻加加,沈,金榜題名,沈,滿月,沈,夢照發,沈,喜蓮勇感,沈,
,浪漫風采,沈,包裝伯樂,沈,金狀元,沈,非凡達,沈,知道長勝,沈,怡昌精神,沈,
,聰明導彈,柏,駿爵士,柏,星運明爵,柏,戰鬥英雄,柏,雷霆戰駒,柏,精靈勇士,柏,
,星運子爵,柏,歡欣福星,柏,精彩非凡,柏,勝利才子,柏,皇者驕傲,柏,多多歡笑,柏,
,寶賢得得,柏,赤子雄心,柏,飛騰騅,柏,九秒九,柏,國士無雙,柏,鈁糖武士,柏,
,鋒芒勁露,柏,喜旺駒,柏,黑桃火箭,柏,常常有餘,柏,幸運之神,柏,銀進,柏,
,祥華孝寬,柏,舞林密碼,柏,爆熱,柏,話你知,柏,大千眼界,柏,直線力山,柏,
,獨角獸,柏,天分高,柏,金寶,柏,包裝旋風,柏,加非凡,柏,鈦易搵,柏,
,多心星,柏,喜至寶,柏,日日獎,柏,大千無雙,柏,春風萬里,柏,紅磚勇士,賀,
